"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-67.16822,18.46281,7.92,"Stegastes variabilis"
"gbif",-65.60128,18.22362,4.57,"Stegastes variabilis"
"gbif",-67.16822,18.46281,6.71,"Stegastes variabilis"
"gbif",-66.0823,18.46118,1.52,"Stegastes variabilis"
"gbif",-67.26918,18.35743,3.05,"Stegastes variabilis"
"gbif",-67.16267,18.45713,7.62,"Stegastes variabilis"
"gbif",-67.16822,18.46281,7.62,"Stegastes variabilis"
"gbif",-66.08705,18.45372,4.27,"Stegastes variabilis"
"gbif",-65.2773,18.27587,18,"Stegastes variabilis"
"gbif",-65.19714,18.13869,31.5,"Stegastes variabilis"
"gbif",-65.332,18.32779,11,"Stegastes variabilis"
"gbif",-65.32772,18.30493,4,"Stegastes variabilis"
"gbif",-65.48794,18.08057,11,"Stegastes variabilis"
"gbif",-65.56711,18.35466,18,"Stegastes variabilis"
"gbif",-65.56555,18.33537,11,"Stegastes variabilis"
"gbif",-65.53089,18.36033,4,"Stegastes variabilis"
"gbif",-65.62972,18.38544,4,"Stegastes variabilis"
"gbif",-65.59008,18.08964,18,"Stegastes variabilis"
"gbif",-67.0779,17.9412,1.22,"Stegastes variabilis"
"gbif",-66.0517,18.46222,4,"Stegastes variabilis"
"gbif",-66.3736,18.48955,11,"Stegastes variabilis"
"gbif",-66.0823,18.46118,1.83,"Stegastes variabilis"
"gbif",-65.60128,18.22362,5.49,"Stegastes variabilis"
"gbif",-67.26918,18.35743,2.74,"Stegastes variabilis"
"gbif",-74.2397,11.20797,NA,"Stegastes variabilis"
"gbif",-81.89,12.08,15,"Stegastes variabilis"
"gbif",-67.0779,17.9412,2.74,"Stegastes variabilis"
"gbif",-66.08705,18.45372,6.1,"Stegastes variabilis"
"gbif",-35.173135,-8.983561,NA,"Stegastes variabilis"
"gbif",-67.16075,18.44494,11.58,"Stegastes variabilis"
"gbif",-67.16822,18.46281,7.01,"Stegastes variabilis"
"gbif",-67.16822,18.46281,6.1,"Stegastes variabilis"
"gbif",-67.15586,18.4264,2.74,"Stegastes variabilis"
"gbif",-64.87237,18.26267,20,"Stegastes variabilis"
"gbif",-67.01861,17.93498,8.23,"Stegastes variabilis"
"gbif",-67.16822,18.46281,10.36,"Stegastes variabilis"
"gbif",-67.01861,17.93498,11.58,"Stegastes variabilis"
"gbif",-65.08205,18.34064,9,"Stegastes variabilis"
"gbif",-65.07677,18.18568,30,"Stegastes variabilis"
"gbif",-65.60128,18.22362,10.67,"Stegastes variabilis"
"gbif",-67.26918,18.35743,5.18,"Stegastes variabilis"
"gbif",-65.60128,18.22362,10.97,"Stegastes variabilis"
"gbif",-65.60128,18.22362,7.01,"Stegastes variabilis"
"gbif",-64.98595,18.3445,9,"Stegastes variabilis"
"gbif",-61.1987,14.76768,NA,"Stegastes variabilis"
"gbif",-39.040212,-14.464864,NA,"Stegastes variabilis"
"obis",-82.80654,24.72403,14.6,"Stegastes variabilis"
"obis",-82.851367,24.722267,18.4,"Stegastes variabilis"
"obis",-81.47105,24.54321,8.2,"Stegastes variabilis"
"obis",-80.25539,25.17603,9,"Stegastes variabilis"
"obis",-82.99358,24.60688,25,"Stegastes variabilis"
"obis",-82.9875,24.65782,31.9,"Stegastes variabilis"
"obis",-82.933533,24.639517,11.4,"Stegastes variabilis"
"obis",-82.8331667,24.6233333,14.6,"Stegastes variabilis"
"obis",-82.87345,24.669,6.7,"Stegastes variabilis"
"obis",-82.99358,24.60688,24.4,"Stegastes variabilis"
"obis",-82.98635,24.7207333,19.7,"Stegastes variabilis"
"obis",-82.7747333,24.70885,21.6,"Stegastes variabilis"
"obis",-82.854867,24.719917,14,"Stegastes variabilis"
"obis",-83.00855,24.708333,29.3,"Stegastes variabilis"
"obis",-82.84062,24.72263,14.6,"Stegastes variabilis"
"obis",-81.9427999,24.4541334,8.5,"Stegastes variabilis"
"obis",-80.7515167,24.7663167,9.5,"Stegastes variabilis"
"obis",-81.5931167,24.5060333,7.5,"Stegastes variabilis"
"obis",-82.916483,24.582333,15.6,"Stegastes variabilis"
"obis",-80.33148,25.13689,3.4,"Stegastes variabilis"
"obis",-80.41233,24.98926,6.3,"Stegastes variabilis"
"obis",-82.9688,24.59603,14.5,"Stegastes variabilis"
"obis",-83.050317,24.647933,15.8,"Stegastes variabilis"
"obis",-82.81384,24.64371,4,"Stegastes variabilis"
"obis",-81.6061167,24.5072167,9.6,"Stegastes variabilis"
"obis",-82.99315,24.67477,22.9,"Stegastes variabilis"
"obis",-80.2871999,25.2158834,2.3,"Stegastes variabilis"
"obis",-81.7338166,24.47325,16.8,"Stegastes variabilis"
"obis",-81.91831,24.44639,11,"Stegastes variabilis"
"obis",-82.9514,24.56825,18.1,"Stegastes variabilis"
"obis",-82.83538,24.66845,8.5,"Stegastes variabilis"
"obis",-83.0082,24.6520667,25.3,"Stegastes variabilis"
"obis",-82.9338,24.6038667,12.8,"Stegastes variabilis"
"obis",-83.10198,24.64143,22.3,"Stegastes variabilis"
"obis",-80.2535833,25.1425833,21.5,"Stegastes variabilis"
"obis",-82.8422,24.6921667,8.1,"Stegastes variabilis"
"obis",-81.6952,24.51445,6.7,"Stegastes variabilis"
"obis",-80.0916666,25.6266667,5.5,"Stegastes variabilis"
"obis",-80.73581,24.77461,7.5,"Stegastes variabilis"
"obis",-83.04343,24.68281,21.2,"Stegastes variabilis"
"obis",-81.4990333,24.5615,6.1,"Stegastes variabilis"
"obis",-82.8762333,24.6682833,5.8,"Stegastes variabilis"
"obis",-80.2114999,25.246,7.3,"Stegastes variabilis"
"obis",-81.7195999,24.4996333,9.1,"Stegastes variabilis"
"obis",-81.7201999,24.5013834,10.4,"Stegastes variabilis"
"obis",-83.0681667,24.6735667,18.3,"Stegastes variabilis"
"obis",-80.3039,25.10578,7.8,"Stegastes variabilis"
"obis",-82.97822,24.60282,16.2,"Stegastes variabilis"
"obis",-80.14933,25.36172,9.5,"Stegastes variabilis"
"obis",-83.0920833,24.6677,21.6,"Stegastes variabilis"
"obis",-82.903267,24.674067,8.1,"Stegastes variabilis"
"obis",-81.988,24.442567,23,"Stegastes variabilis"
"obis",-80.61699,24.90407,4.6,"Stegastes variabilis"
"obis",-83.0057333,24.6560333,27.4,"Stegastes variabilis"
"obis",-82.86362,24.66642,11.9,"Stegastes variabilis"
"obis",-83.102983,24.631483,25.2,"Stegastes variabilis"
"obis",-82.77765,24.66773,11.9,"Stegastes variabilis"
"obis",-81.6575,24.5630833,4.6,"Stegastes variabilis"
"obis",-83.02285,24.6770167,21.5,"Stegastes variabilis"
"obis",-83.0085833,24.6625667,20.7,"Stegastes variabilis"
"obis",-82.87433,24.59156,12,"Stegastes variabilis"
"obis",-81.7249,24.5029667,8.4,"Stegastes variabilis"
"obis",-83.03485,24.6775,21.8,"Stegastes variabilis"
"obis",-82.82005,24.6539667,7.2,"Stegastes variabilis"
"obis",-82.830167,24.724833,25.4,"Stegastes variabilis"
"obis",-81.52082,24.52771,3.8,"Stegastes variabilis"
"obis",-82.7740167,24.7077,20.1,"Stegastes variabilis"
"obis",-82.93078,24.64288,7.6,"Stegastes variabilis"
"obis",-82.85638,24.7005,6.7,"Stegastes variabilis"
"obis",-80.2616833,25.1578,14.2,"Stegastes variabilis"
"obis",-83.084,24.62025,17.8,"Stegastes variabilis"
"obis",-82.88788,24.58103,16.3,"Stegastes variabilis"
"obis",-82.9487667,24.6101833,10.4,"Stegastes variabilis"
"obis",-81.631233,24.4997,5.5,"Stegastes variabilis"
"obis",-80.93149,24.72577,5.8,"Stegastes variabilis"
"obis",-82.88527,24.68007,13.4,"Stegastes variabilis"
"obis",-82.8583833,24.6690833,9.6,"Stegastes variabilis"
"obis",-80.39,25.06733,2.1,"Stegastes variabilis"
"obis",-83.05418,24.654,16.8,"Stegastes variabilis"
"obis",-80.25065,25.2317167,3.5,"Stegastes variabilis"
"obis",-82.84163,24.68923,8.8,"Stegastes variabilis"
"obis",-82.78997,24.7118,13.1,"Stegastes variabilis"
"obis",-80.1959167,25.3017833,8.8,"Stegastes variabilis"
"obis",-83.014983,24.686167,17.5,"Stegastes variabilis"
"obis",-82.94665,24.56295,18,"Stegastes variabilis"
"obis",-83.04323,24.68292,22.3,"Stegastes variabilis"
"obis",-81.706,24.48183,5,"Stegastes variabilis"
"obis",-82.953417,24.5652,19.4,"Stegastes variabilis"
"obis",-83.0316167,24.6909,25,"Stegastes variabilis"
"obis",-82.8891833,24.6246167,3.1,"Stegastes variabilis"
"obis",-82.88388,24.71119,13.7,"Stegastes variabilis"
"obis",-83.0089,24.6596167,26.4,"Stegastes variabilis"
"obis",-80.7565,24.7655,8.1,"Stegastes variabilis"
"obis",-83.03135,24.6504167,17.7,"Stegastes variabilis"
"obis",-82.8023833,24.7304833,18,"Stegastes variabilis"
"obis",-82.9432833,24.6094167,12.5,"Stegastes variabilis"
"obis",-83.06285,24.6184,16.4,"Stegastes variabilis"
"obis",-82.899033,24.675167,5.9,"Stegastes variabilis"
"obis",-82.8023833,24.659,2.7,"Stegastes variabilis"
"obis",-80.79983,24.73128,14,"Stegastes variabilis"
"obis",-82.9064,24.6971333,13.1,"Stegastes variabilis"
"obis",-80.2783833,25.1145167,20.9,"Stegastes variabilis"
"obis",-80.54873,24.95266,3.8,"Stegastes variabilis"
"obis",-83.03518,24.61279,26.5,"Stegastes variabilis"
"obis",-80.5504,24.9501667,4.1,"Stegastes variabilis"
"obis",-82.7899667,24.7019833,6.3,"Stegastes variabilis"
"obis",-82.8696667,24.6975333,9.5,"Stegastes variabilis"
"obis",-82.9216,24.57352,12.5,"Stegastes variabilis"
"obis",-82.9742333,24.5699167,19.8,"Stegastes variabilis"
"obis",-81.71417,24.5505,2.4,"Stegastes variabilis"
"obis",-82.95048,24.56753,18.9,"Stegastes variabilis"
"obis",-82.94038,24.63908,14,"Stegastes variabilis"
"obis",-82.785183,24.711883,6.4,"Stegastes variabilis"
"obis",-82.9418,24.60464,14.6,"Stegastes variabilis"
"obis",-80.150339,25.45238,4.4,"Stegastes variabilis"
"obis",-82.9636833,24.6128333,12.7,"Stegastes variabilis"
"obis",-82.9785,24.707,32.9,"Stegastes variabilis"
"obis",-83.08163,24.67679,20.4,"Stegastes variabilis"
"obis",-82.8854833,24.6800667,15.2,"Stegastes variabilis"
"obis",-82.994983,24.591467,24.5,"Stegastes variabilis"
"obis",-82.8978667,24.6040333,5,"Stegastes variabilis"
